canonical_id,b_id,source,views,same_bank_train_overlap,players,goals,imposed_events,voluntary_events,private_results,queried_preference_privately_observed,queried_preference_public,support,favored,p_eligible,disposition
03a06b6c8ef099da178a0aaabb5f2af4ba58d04c6988a08d16a72a1f9f277c71,03a06b6c8ef099da178a-B,information-control-2-4-True-1,B|O|Pplus,False,2,4,1,0,0,False,False,want|neutral|avoid,avoid,True,requires_history_reconstruction
04ff6fecb27fa7541a03070b0021f95b00d8e772d2f70784277bbf0da6c83a7e,04ff6fecb27fa7541a03-B,pilot-short-159,B|O|Pplus,False,2,3,1,0,0,False,True,neutral,neutral,True,requires_history_reconstruction
06cfbf1556bdb87b623c45a55e5b0bf17e4e19ec80f50da541b8109ab0c665dd,06cfbf1556bdb87b623c-B,pilot-short-233,B|O|Pplus,False,3,3,6,0,1,False,False,want|neutral|avoid,undetermined,True,requires_history_reconstruction
07d99545067e378f42bebe2cc8c3bdb2bad6050fa40e1f448b30e77f13447c6f,07d99545067e378f42be-B,pilot-short-224,B|O|Pplus,False,3,3,3,0,0,False,False,want|neutral|avoid,want,True,requires_history_reconstruction
08b4d6ba74c7869b51ab6092bbc41c754634c1af1d4da38e1d51642a3c5aa889,08b4d6ba74c7869b51ab-B,pilot-short-70,B|O|Pplus,False,2,3,1,0,0,False,False,want|neutral|avoid,neutral,True,requires_history_reconstruction
0a0f638d95b942b450214aae1d8912c0242184b28e3c839f72017a43e1d1f08b,0a0f638d95b942b45021-B,reasoning-v4:dd2774114b3fc359d66f,B|O|Pplus,False,2,6,1,1,1,False,False,want|neutral|avoid,undetermined,True,requires_history_reconstruction
0c489995ac282a1f8b3bb290b6da2313ce3f600c8a4cfedf69641bcc6684c1ef,0c489995ac282a1f8b3b-B,pilot-short-140,B|O|Pplus,False,3,3,3,0,0,False,False,want|neutral|avoid,avoid,True,requires_history_reconstruction
114fbbc1ab0aa125e1c4e64ac1ba367bcf11a002e96746a2ff7af9c2a81364c0,114fbbc1ab0aa125e1c4-B,pilot-short-224,B|O|Pplus,False,3,3,3,0,0,False,True,avoid,avoid,True,requires_history_reconstruction
1218ef7e48251a4738e806b7baff2b7ef51dc91f3658d7e14396655095647753,1218ef7e48251a4738e8-B,pilot-short-129,B|O|Pplus,False,2,3,1,1,0,False,False,neutral|avoid,avoid,True,requires_history_reconstruction
183b1ec3566793b11370ded0dc696aef91c2fd2ce53f34aecf5de1ca03bcc2f3,183b1ec3566793b11370-B,pilot-short-143,B|O|Pplus,False,3,3,3,1,0,False,False,want|neutral|avoid,neutral,True,requires_history_reconstruction
1b976c65600260ae2557116fd98808b865522c14593786d2bdc2b57fe01eea74,1b976c65600260ae2557-B,reasoning-v4:geometry-v4-2042-linear,B|O|Pplus,False,3,4,3,1,0,False,False,want|neutral,want,True,requires_history_reconstruction
1ff5580a85eddc054a1e3367eb23b5cd8a74da070c49d731eb34369081ab24d4,1ff5580a85eddc054a1e-B,pilot-short-70,B|O|Pplus,False,2,3,1,1,0,False,False,want|neutral|avoid,neutral,True,requires_history_reconstruction
2117eabba65e0c74cf7ea2297d4b44b15397406032f733a710f108a9ed7848d6,2117eabba65e0c74cf7e-B,pilot-short-137,B|O|Pplus,False,3,3,6,0,1,False,False,want|neutral|avoid,neutral,True,requires_history_reconstruction
234bf154f2dc33c9f69820eaa9ec70b6cc8d0019c224a53e2e401439f0dfa29e,234bf154f2dc33c9f698-B,pilot-short-233,B|O|Pplus,False,3,3,6,0,1,False,False,want|neutral|avoid,neutral,True,requires_history_reconstruction
2caf2bfdd9d23c768f5bea09380da58615e0b9665100933607a2656ea122ad66,2caf2bfdd9d23c768f5b-B,reasoning-v4:dd2774114b3fc359d66f,B|O|Pplus,False,2,6,1,1,1,True,False,want,want,True,requires_history_reconstruction
2e298d42c357422cf49f0192432219261c1e3e746cf7f0f4eeabb10f46fb2abd,2e298d42c357422cf49f-B,pilot-short-224,B|O|Pplus,False,3,3,3,0,0,False,True,avoid,avoid,True,requires_history_reconstruction
2efb6bcbea0414cbd56aaa3105fa337bb7814562e584dab0551a51314009dbee,2efb6bcbea0414cbd56a-B,information-control-2-4-True-1,B|O|Pplus,False,2,4,1,0,0,False,False,want|neutral|avoid,undetermined,True,requires_history_reconstruction
2fbe08ba237200870281562c39b970c246b01a1d60cec502905c25275ca367bc,2fbe08ba237200870281-B,pilot-short-143,B|O|Pplus,False,3,3,3,1,0,False,False,want|neutral|avoid,undetermined,True,requires_history_reconstruction
30101c0044b28e8b5e1bcb0e6df33518cebac4c583c5e9d2a11a5a9a6b0f7e07,30101c0044b28e8b5e1b-B,pilot-information-104,B|O|Pplus,False,2,6,1,0,0,False,False,want|neutral|avoid,avoid,False,requires_history_reconstruction
